"LIBRARYREFERENCE","FOOTPRINT1","COMMENT","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"CR-03FL7---24K","R0603","–езистор 24 кќм ± 1% 100 м¬т SMD 0603 CR-03FL7---24K "Viking"","24 к","*","R?","–езистор 24 кќм ± 1% 100 м¬т SMD 0603 CR-03FL7---24K "Viking""
"CR-03FL7---2K7","LD0603","–езистор 2.7 кќм ± 1% 100 м¬т SMD 0603  CR-03FL7---2K7 "Viking"","2,7 к","*","R?","–езистор 2.7 кќм ± 1% 100 м¬т SMD 0603  CR-03FL7---2K7 "Viking""
"CR-03FL7---5K6","R0603","–езистор 5.6 кќм ± 1% 100м¬т SMD 0603  CR-03FL7---5K6 "Viking"","5.6к","*","R?","–езистор 5.6 кќм ± 1% 100м¬т SMD 0603  CR-03FL7---5K6 "Viking""
"CR-03FL7--150K","R0402","–езистор 150 кќм±1% 63м¬т SMD 0402 CR-03FL7--150K "Viking"","150к","*","R?","–езистор 150 кќм±1% 63м¬т SMD 0402 CR-03FL7--150K "Viking""
"CR-05FL7---10K","R0805","–езистор 10 кќм ± 1% 125м¬т SMD 0805 CR-05FL7---10K "Viking"","10к","*","R?","–езистор 10 кќм ± 1% 125м¬т SMD 0805 CR-05FL7---10K "Viking""
"CR-05FL7--120R","R0805","–езистор 120 ќм ± 1% 125м¬т SMD 0805  CR-05FL7--120R "Viking"","120","*","R?","–езистор 120 ќм ± 1% 125м¬т SMD 0805  CR-05FL7--120R "Viking""
"CR-05JL7----0R","R0805","–езистор 0 ќм ± 1% 125м¬т SMD 0805 CR-05JL7----0R "Viking"","0","*","R?","–езистор 0 ќм ± 1% 125м¬т SMD 0805 CR-05JL7----0R "Viking""
"CR-05JL7----1M","R0805","–езистор 1 ћќм ± 1% 125м¬т 150¬ SMD 0805 -55...155∞C CR-05JL7----1M "Viking"","1M","*","R?","–езистор 1 ћќм ± 1% 125м¬т 150¬ SMD 0805 -55...155∞C CR-05JL7----1M "Viking""
"CR-05JL7---20R","R0805","–езистор 20 ќм ± 1% 125м¬т SMD 0805  CR-05JL7---20R "Viking"","20","*","R?","–езистор 20 ќм ± 1% 125м¬т SMD 0805  CR-05JL7---20R "Viking""
"CR-06FL7----3R","R1206","–езистор 3 ќм ± 1% 250м¬т SMD 1206 CR-06FL7----3R "Viking"","3","*","R?","–езистор 3 ќм ± 1% 250м¬т SMD 1206 CR-06FL7----3R "Viking""
"CR-06FL7--390R","R1206","–езистор 390 ќм ± 1% 250м¬т SMD 1206  CR-06FL7--390R "Viking"","390","*","R?","–езистор 390 ќм ± 1% 250м¬т SMD 1206  CR-06FL7--390R "Viking""
"CRCW0603100MJPEAHR","R0603","–езистор 100 ћќм ± 1% 100м¬т SMD 0603 CRCW0603100MJPEAHR "VISHAY"","100ћ","*","R?","–езистор 100 ћќм ± 1% 100м¬т SMD 0603 CRCW0603100MJPEAHR "VISHAY""
"ERJB1BF2R7U","SMD 1020 Panasonic","–езистор 2,7ќм ± 1% 2¬т -55...155 ∞C SMD-1020 ERJB1BF2R7U "Panasonic"","2.7","*","R?","–езистор 2,7ќм ± 1% 2¬т -55...155 ∞C SMD-1020 ERJB1BF2R7U "Panasonic""
"KNP200JB-73-0R1","AXIAL R L=15","–езистор 0,1ќм ± 1% 2¬т AXIAL 15мм  KNP200JB-73-0R1 "Yageo"","0,1","*","R?","–езистор 0,1ќм ± 1% 2¬т AXIAL 15мм  KNP200JB-73-0R1 "Yageo""
"KNP500JT-91-0R1","AXIAL R L=25","–езистор 0,1ќм ± 1% 5¬т AXIAL 25мм  KNP500JT-91-0R1 "Yageo"","0,1","*","R?","–езистор 0,1ќм ± 1% 5¬т AXIAL 25мм  KNP500JT-91-0R1 "Yageo""
"MFR-25FRF52-44K2","AXIAL R L=6.3","–езистор 44.2kќм ± 1% 0.125¬т AXIAL 6.3мм  MFR-25FRF52-44K2 "Yageo"","44.2k","*","R?","–езистор 44.2kќм ± 1% 0.125¬т AXIAL 6.3мм  MFR-25FRF52-44K2 "Yageo""
"MFR100JT-73-360R","AXIAL R L=12","–езистор 360 ќм ± 5% 1¬т AXIAL MFR100JT-73-360R "Yageo"","360","*","R?","–езистор 360 ќм ± 5% 1¬т AXIAL MFR100JT-73-360R "Yageo""
"MFR200JT-73-4R7","AXIAL R L=12","–езистор 4.7 ќм ± 5% 2¬т AXIAL MFR200JT-73-4R7 "Yageo"","4.7","*","R?","–езистор 4.7 ќм ± 5% 2¬т AXIAL MFR200JT-73-4R7 "Yageo""
"PA2512FKE7W0R001E","SMD 2512 Res","–езистор 0.001 ќм ± 1% 2 ¬т SMD 2512 PA2512FKE7W0R001E "Yageo"","0.001","*","R?","–езистор 0.001 ќм ± 1% 2 ¬т SMD 2512 PA2512FKE7W0R001E "Yageo""
"PR02000202708JA100","AXIAL R L=12","–езистор 2.7 ќм ± 5% 2¬т AXIAL PR02000202708JA100 "Vishay"","2.7","*","R?","–езистор 2.7 ќм ± 5% 2¬т AXIAL PR02000202708JA100 "Vishay""
"PR02000203609JR500","R Axial L=17.8","–езистор 36 ќм ± 5% 2¬т AXIAL PR02000203609JR500 "Vishay"","36","*","R?","–езистор 36 ќм ± 5% 2¬т AXIAL PR02000203609JR500 "Vishay""
"RC0402JR-07220RL","R0402","–езистор 220 ќм±1% 63м¬т SMD 0402 RC0402JR-07220RL "Yageo"","220","*","R?","–езистор 220 ќм±1% 63м¬т SMD 0402 RC0402JR-07220RL "Yageo""
"RC0603FR-070RL","R0603","–езистор 0 ќм ± 1% 100м¬т SMD 0603 RC0603FR-070RL "Yageo"","0","*","R?","–езистор 0 ќм ± 1% 100м¬т SMD 0603 RC0603FR-070RL "Yageo""
"RC0603FR-07100KL","R0603","–езистор 100 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07100KL "Yageo"","100к","*","R?","–езистор 100 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07100KL "Yageo""
"RC0603FR-07100RL","R0603","–езистор 100 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07100RL "Yageo"","100","*","R?","–езистор 100 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07100RL "Yageo""
"RC0603FR-0710K2L","R0603","–езистор 10,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710K2L "Yageo"","10.2кќм","*","R?","–езистор 10,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710K2L "Yageo""
"RC0603FR-0710KL","R0603","–езистор 10 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710KL "Yageo"","10к","*","R?","–езистор 10 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710KL "Yageo""
"RC0603FR-0710RL","R0603","–езистор 10 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0710RL "Yageo"","10","*","R?","–езистор 10 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0710RL "Yageo""
"RC0603FR-07120RL","R0603","–езистор 120 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07120RL "Yageo"","120","*","R?","–езистор 120 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07120RL "Yageo""
"RC0603FR-0712K1L","R0603","–езистор 12.1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0712K1L "Yageo"","12.1к","*","R?","–езистор 12.1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0712K1L "Yageo""
"RC0603FR-0712K7L","R0603","–езистор 12.7 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0712K7L "Yageo"","12,7к","*","R?","–езистор 12.7 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0712K7L "Yageo""
"RC0603FR-07143KL_1","R0603","–езистор 143 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07143KL "Yageo"","143к","*","R?","–езистор 143 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07143KL "Yageo""
"RC0603FR-0714KL","R0603","–езистор 14 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0714KL "Yageo"","14к","*","R?","–езистор 14 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0714KL "Yageo""
"RC0603FR-07150RL","R0603","–езистор 150 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07150RL "Yageo"","150","*","R?","–езистор 150 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07150RL "Yageo""
"RC0603FR-0717K8L","R0603","–езистор 17.8 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0717K8L "Yageo"","17,8к","*","R?","–езистор 17.8 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0717K8L "Yageo""
"RC0603FR-071K3L","R0603","–езистор 1.3 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K3L "Yageo"","1.3к","*","R?","–езистор 1.3 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K3L "Yageo""
"RC0603FR-071K5L","R0603","–езистор 1.5 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0733RL "Yageo"","1.5k","*","R?","–езистор 1.5 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0733RL "Yageo""
"RC0603FR-071K8L","R0603","–езистор 1,8 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K8L "Yageo"","1,8к","*","R?","–езистор 1,8 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K8L "Yageo""
"RC0603FR-071K91L","R0603","–езистор 1.91 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K91L "Yageo"","1,91к","*","R?","–езистор 1.91 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071K91L "Yageo""
"RC0603FR-071KL","R0603","–езистор 1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071KL "Yageo"","1к","*","R?","–езистор 1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-071KL "Yageo""
"RC0603FR-071ML","R0603","–езистор 1 ћќм ± 1% 0.1¬т SMD 0603 RC0603FR-071ML "Yageo"","1M","*","R?","–езистор 1 ћќм ± 1% 0.1¬т SMD 0603 RC0603FR-071ML "Yageo""
"RC0603FR-071RL","R0603","–езистор 1 ќм ± 1% 100м¬т SMD 0603 RC0603FR-071RL "Yageo"","1","*","R?","–езистор 1 ќм ± 1% 100м¬т SMD 0603 RC0603FR-071RL "Yageo""
"RC0603FR-07200KL","R0603","–езистор 200 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07200KL "Yageo"","200к","*","R?","–езистор 200 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07200KL "Yageo""
"RC0603FR-07200RL","R0603","–езистор 200 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07200RL "Yageo"","200","*","R?","–езистор 200 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07200RL "Yageo""
"RC0603FR-07205KL","R0603","–езистор 205 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-07205KL "Yageo"","205 к","*","R?","–езистор 205 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-07205KL "Yageo""
"RC0603FR-0720K5L","R0603","–езистор 20.5 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0720K5L "Yageo"","20.5к","*","R?","–езистор 20.5 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0720K5L "Yageo""
"RC0603FR-0722KL","R0603","–езистор 22 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0722KL "Yageo"","22к","*","R?","–езистор 22 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0722KL "Yageo""
"RC0603FR-07249RL","R0603","–езистор 249 ќм ± 1% 0.1¬т SMD 0603 RC0603FR-07249RL "Yageo"","249","*","R?","–езистор 249 ќм ± 1% 0.1¬т SMD 0603 RC0603FR-07249RL "Yageo""
"RC0603FR-07270K","R0603","–езистор 270 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07270K "Yageo"","270к","*","R?","–езистор 270 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07270K "Yageo""
"RC0603FR-0727KL","R0603","–езистор 27 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0727KL "Yageo"","27к","*","R?","–езистор 27 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0727KL "Yageo""
"RC0603FR-0727RL","R0603","–езистор 27 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0727RL "Yageo"","27","*","R?","–езистор 27 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0727RL "Yageo""
"RC0603FR-0728KL","R0603","–езистор 28.0 кќм ± 1% 100м¬т SMD 0603  RC0603FR-0728KL "Yageo"","28к","*","R?","–езистор 28.0 кќм ± 1% 100м¬т SMD 0603  RC0603FR-0728KL "Yageo""
"RC0603FR-0728RL","R0603","–езистор 28 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0728RL "Yageo"","28","*","R?","–езистор 28 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0728RL "Yageo""
"RC0603FR-072K05L","R0603","–езистор 2.05 кќм ± 1% 100м¬т SMD 0603 RC0603FR-072K05L "Yageo"","2,05к","*","R?","–езистор 2.05 кќм ± 1% 100м¬т SMD 0603 RC0603FR-072K05L "Yageo""
"RC0603FR-072K26L","R0603","–езистор 2.26 кќм ± 1% 100м¬т SMD 0603  RC0603FR-072K26L "Yageo"","2.26к","*","R?","–езистор 2.26 кќм ± 1% 100м¬т SMD 0603  RC0603FR-072K26L "Yageo""
"RC0603FR-072KL","R0603","–езистор 2 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-072KL "Yageo"","2 к","*","R?","–езистор 2 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-072KL "Yageo""
"RC0603FR-0730RL","R0603","–езистор 30 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0730RL "Yageo"","30","*","R?","–езистор 30 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0730RL "Yageo""
"RC0603FR-07330RL","R0603","–езистор 330 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07330RL "Yageo"","330","*","R?","–езистор 330 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07330RL "Yageo""
"RC0603FR-0733KL","R0603","–езистор 33 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0733KL "Yageo"","33к","*","R?","–езистор 33 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0733KL "Yageo""
"RC0603FR-0733RL","R0603","–езистор 33 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0733RL "Yageo"","33","*","R?","–езистор 33 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0733RL "Yageo""
"RC0603FR-0739KL","R0603","–езистор 39 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0739KL "Yageo"","39к","*","R?","–езистор 39 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0739KL "Yageo""
"RC0603FR-073K32L","R0603","–езистор 3.32 кќм ± 1% 100м¬т SMD 0603 RC0603FR-073K32L "Yageo"","3,32к","*","R?","–езистор 3.32 кќм ± 1% 100м¬т SMD 0603 RC0603FR-073K32L "Yageo""
"RC0603FR-073K48L","R0603","–езистор 3.48 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-073K48L "Yageo"","3,48 к","*","R?","–езистор 3.48 кќм ± 1% 100 м¬т SMD 0603 RC0603FR-073K48L "Yageo""
"RC0603FR-073KL","R0603","–езистор 3 кќм ± 1% 100м¬т SMD 0603 RC0603FR-073KL "Yageo"","3к","*","R?","–езистор 3 кќм ± 1% 100м¬т SMD 0603 RC0603FR-073KL "Yageo""
"RC0603FR-0743RL","R0603","–езистор 43 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0743RL "Yageo"","43","*","R?","–езистор 43 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0743RL "Yageo""
"RC0603FR-07470RL","R0603","–езистор 470 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07470RL "Yageo"","470","*","R?","–езистор 470 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07470RL "Yageo""
"RC0603FR-0747R5L","R0603","–езистор 47.5 ќм ± 1% 0.1¬т SMD 0603 RC0603FR-0747R5L "Yageo"","47.5","*","R?","–езистор 47.5 ќм ± 1% 0.1¬т SMD 0603 RC0603FR-0747R5L "Yageo""
"RC0603FR-0749R9L","R0603","–езистор 49.9 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0749R9L "Yageo"","49.9","*","R?","–езистор 49.9 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0749R9L "Yageo""
"RC0603FR-074K7L","R0603","–езистор 4.7 кќм ± 1% 100м¬т SMD 0603 RC0603FR-074K7L "Yageo"","4.7к","*","R?","–езистор 4.7 кќм ± 1% 100м¬т SMD 0603 RC0603FR-074K7L "Yageo""
"RC0603FR-07510RL","R0603","–езистор 510 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07510RL "Yageo"","510","*","R?","–езистор 510 ќм ± 1% 100м¬т SMD 0603 RC0603FR-07510RL "Yageo""
"RC0603FR-0751KL","R0603","–езистор 51 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0751KL "Yageo"","51к","*","R?","–езистор 51 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0751KL "Yageo""
"RC0603FR-0753K6L","R0603","–езистор 53,6 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0753K6L "Yageo"","53,6к","*","R?","–езистор 53,6 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0753K6L "Yageo""
"RC0603FR-0756K2L","R0603","–езистор 56,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0756K2L "Yageo"","56,2к","*","R?","–езистор 56,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0756K2L "Yageo""
"RC0603FR-075K1L","R0603","–езистор 5.1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-075K1L "Yageo"","5.1к","*","R?","–езистор 5.1 кќм ± 1% 100м¬т SMD 0603 RC0603FR-075K1L "Yageo""
"RC0603FR-0762KL","R0603","–езистор 62 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0762KL "Yageo"","62к","*","R?","–езистор 62 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0762KL "Yageo""
"RC0603FR-0763K4L","R0603","–езистор 63.4 кќм ± 1% 100м¬т SMD 0603   RC0603FR-0763K4L "Yageo"","63.4к","*","R?","–езистор 63.4 кќм ± 1% 100м¬т SMD 0603   RC0603FR-0763K4L "Yageo""
"RC0603FR-07680KL","R0603","–езистор 680 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710KL "Yageo"","680к","*","R?","–езистор 680 кќм ± 1% 100м¬т SMD 0603 RC0603FR-0710KL "Yageo""
"RC0603FR-076K04L","R0805","–езистор 6.04 кќм ± 1% 125м¬т SMD 0805  RC0603FR-076K04L "Yageo"","6.04 кќм","*","R?","–езистор 6.04 кќм ± 1% 125м¬т SMD 0805  RC0603FR-076K04L "Yageo""
"RC0603FR-076K34L","R0603","–езистор 6.34 кќм ± 1% 100м¬т SMD 0603  RC0603FR-076K34L "Yageo"","6.34к","*","R?","–езистор 6.34 кќм ± 1% 100м¬т SMD 0603  RC0603FR-076K34L "Yageo""
"RC0603FR-0775RL","R0603","–езистор 75 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0775RL "Yageo"","75","*","R?","–езистор 75 ќм ± 1% 100м¬т SMD 0603 RC0603FR-0775RL "Yageo""
"RC0603FR-07820KL","R0603","–езистор 820 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07820KL "Yageo"","820к","*","R?","–езистор 820 кќм ± 1% 100м¬т SMD 0603 RC0603FR-07820KL "Yageo""
"RC0603FR-07820KL_1","SMD 5931","–езистор токоизмерительный 500 мкќм ± 1% 10¬т SMD-5931 -55...170∞ LRMAP5930D-R0005FT "TT Electronics PLC"","500мкќм","*","R?","–езистор токоизмерительный 500 мкќм ± 1% 10¬т SMD-5931 -55...170∞ LRMAP5930D-R0005FT "TT Electronics PLC""
"RC0603FR-078K2L","R0603","–езистор 8,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-078K2L "Yageo"","8,2к","*","R?","–езистор 8,2 кќм ± 1% 100м¬т SMD 0603 RC0603FR-078K2L "Yageo""
"RC0603FR-078K66L","R0603","–езистор 8.62 кќм ± 1% 100м¬т SMD 0603 RC0603FR-078K66L "Yageo"","8.62к","*","R?","–езистор 8.62 кќм ± 1% 100м¬т SMD 0603 RC0603FR-078K66L "Yageo""
"RC0603JR-0716RL","R0603","–езистор 16 ќм ± 1% 100м¬т SMD 0603 RC0603JR-0716RL "Yageo"","16","*","R?","–езистор 16 ќм ± 1% 100м¬т SMD 0603 RC0603JR-0716RL "Yageo""
"RC0603JR-072M7L","R0603","–езистор 2,7 ћќм ± 1% 100м¬т SMD 0603 RC0603JR-072M7L "Yageo"","2,7M","*","R?","–езистор 2,7 ћќм ± 1% 100м¬т SMD 0603 RC0603JR-072M7L "Yageo""
"RC0805FR-072R2L","R0805","–езистор 2,2 ќм ± 1% 125м¬т SMD 0805  RC0805FR-072R2L "Yageo"","2,2","*","R?","–езистор 2,2 ќм ± 1% 125м¬т SMD 0805  RC0805FR-072R2L "Yageo""
"RC0805FR-075K11L","R0805","–езистор 5.11 кќм ± 1% 125м¬т SMD 0805  RC0805FR-075K11L "Yageo"","5.11к","*","R?","–езистор 5.11 кќм ± 1% 125м¬т SMD 0805  RC0805FR-075K11L "Yageo""
"RC0805FR-077K32L","R0805","–езистор 7.32 кќм ± 1% 125м¬т SMD 0805  RC0805FR-077K32L "Yageo"","7.32к","*","R?","–езистор 7.32 кќм ± 1% 125м¬т SMD 0805  RC0805FR-077K32L "Yageo""
